YEAR,LocationDesc,TopicDesc,MeasureDesc,Response,Sample_Size,Gender,Race,Age,Education
2017,Alabama,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,331,Overall,All Races,All Ages,All Grades
2017,Alabama,Cigarette Use (Adults),Smoking Frequency,Some Days,611,Female,All Races,All Ages,All Grades
2017,Alabama,E-Cigarette Use (Adults),Frequency of Use,Some Days,116,Female,All Races,All Ages,All Grades
2017,Alabama,E-Cigarette Use (Adults),Frequency of Use,Every Day,116,Female,All Races,All Ages,All Grades
2017,Alabama,Cigarette Use (Adults),Smoking Frequency,Every Day,532,Male,All Races,All Ages,All Grades
2017,Alabama,E-Cigarette Use (Adults),Frequency of Use,Some Days,226,Overall,All Races,All Ages,All Grades
2017,Alabama,E-Cigarette Use (Adults),Frequency of Use,Every Day,110,Male,All Races,All Ages,All Grades
2017,Alabama,E-Cigarette Use (Adults),Frequency of Use,Some Days,110,Male,All Races,All Ages,All Grades
2017,Alabama,Cigarette Use (Adults),Smoking Status,Current,2598,Male,All Races,All Ages,All Grades
2017,Alabama,Cigarette Use (Adults),Smoking Frequency,Some Days,1143,Overall,All Races,All Ages,All Grades
2017,Alabama,Smokeless Tobacco Use (Adults),User Status,Current,3888,Female,All Races,All Ages,All Grades
2017,Alabama,Cigarette Use (Adults),Smoking Frequency,Every Day,611,Female,All Races,All Ages,All Grades
2017,Alabama,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,59,Female,All Races,All Ages,All Grades
2017,Alabama,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,59,Female,All Races,All Ages,All Grades
2017,Alabama,Smokeless Tobacco Use (Adults),User Status,Current,6491,Overall,All Races,All Ages,All Grades
2017,Alabama,E-Cigarette Use (Adults),Frequency of Use,Every Day,226,Overall,All Races,All Ages,All Grades
2017,Alabama,Cigarette Use (Adults),Smoking Status,Current,3871,Female,All Races,All Ages,All Grades
2017,Alabama,E-Cigarette Use (Adults),User Status,Current,6441,Overall,All Races,All Ages,All Grades
2017,Alabama,Smokeless Tobacco Use (Adults),User Status,Current,2600,Male,All Races,All Ages,All Grades
2017,Alabama,Cigarette Use (Adults),Smoking Status,Current,6472,Overall,All Races,All Ages,All Grades
2017,Alabama,Cigarette Use (Adults),Smoking Frequency,Some Days,532,Male,All Races,All Ages,All Grades
2017,Alabama,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,331,Overall,All Races,All Ages,All Grades
2017,Alabama,E-Cigarette Use (Adults),User Status,Current,3855,Female,All Races,All Ages,All Grades
2017,Alabama,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,272,Male,All Races,All Ages,All Grades
2017,Alabama,Cigarette Use (Adults),Smoking Frequency,Every Day,1143,Overall,All Races,All Ages,All Grades
2017,Alabama,E-Cigarette Use (Adults),User Status,Current,2582,Male,All Races,All Ages,All Grades
2017,Alabama,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,272,Male,All Races,All Ages,All Grades
2017,Alaska,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,149,Male,All Races,All Ages,All Grades
2017,Alaska,E-Cigarette Use (Adults),Frequency of Use,Some Days,,Male,All Races,All Ages,All Grades
2017,Alaska,Cigarette Use (Adults),Smoking Frequency,Every Day,538,Overall,All Races,All Ages,All Grades
2017,Alaska,Cigarette Use (Adults),Smoking Frequency,Every Day,300,Male,All Races,All Ages,All Grades
2017,Alaska,Cigarette Use (Adults),Smoking Frequency,Every Day,238,Female,All Races,All Ages,All Grades
2017,Alaska,Cigarette Use (Adults),Smoking Status,Current,3084,Overall,All Races,All Ages,All Grades
2017,Alaska,Cigarette Use (Adults),Smoking Frequency,Some Days,538,Overall,All Races,All Ages,All Grades
2017,Alaska,Smokeless Tobacco Use (Adults),User Status,Current,1474,Male,All Races,All Ages,All Grades
2017,Alaska,E-Cigarette Use (Adults),User Status,Current,1591,Female,All Races,All Ages,All Grades
2017,Alaska,Smokeless Tobacco Use (Adults),User Status,Current,1597,Female,All Races,All Ages,All Grades
2017,Alaska,E-Cigarette Use (Adults),Frequency of Use,Every Day,68,Overall,All Races,All Ages,All Grades
2017,Alaska,E-Cigarette Use (Adults),User Status,Current,1486,Male,All Races,All Ages,All Grades
2017,Alaska,E-Cigarette Use (Adults),Frequency of Use,Every Day,,Female,All Races,All Ages,All Grades
2017,Alaska,E-Cigarette Use (Adults),Frequency of Use,Some Days,68,Overall,All Races,All Ages,All Grades
2017,Alaska,Smokeless Tobacco Use (Adults),User Status,Current,3074,Overall,All Races,All Ages,All Grades
2017,Alaska,E-Cigarette Use (Adults),Frequency of Use,Every Day,,Male,All Races,All Ages,All Grades
2017,Alaska,Cigarette Use (Adults),Smoking Frequency,Some Days,238,Female,All Races,All Ages,All Grades
2017,Alaska,Cigarette Use (Adults),Smoking Status,Current,1482,Male,All Races,All Ages,All Grades
