YEAR,LocationDesc,TopicDesc,MeasureDesc,Response,Sample_Size,Gender,Race,Age,Education,States,DisplayOrder,SubMeasureID,StratificationID4,StratificationID3,StratificationID2,StratificationID1,TopicId,MeasureId,TopicTypeId,GeoLocation,High_Confidence_Limit,Data_Value_Std_Err,Data_Value_Footnote,Low_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Unit,Data_Value_Type,Data_Value,DataSource,TopicType,LocationAbbr
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,254,Male,All Races,All Ages,All Grades,9,78,BRF78,6EDU,6RAC,8AGE,2GEN,150BEH,178SFU,BEH,"(38.843840757000464, -106.13361092099967)",63.5,3.7,,48.9,,%,Percentage,56.2,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,E-Cigarette Use (Adults),Frequency of Use,Every Day,180,Male,All Races,All Ages,All Grades,9,61,BRF61,6EDU,6RAC,8AGE,2GEN,107BEH,175EFU,BEH,"(38.843840757000464, -106.13361092099967)",46.4,4.1,,30.2,,%,Percentage,38.3,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Some Days,534,Female,All Races,All Ages,All Grades,9,26,BRF26,6EDU,6RAC,8AGE,3GEN,100BEH,166SSP,BEH,"(38.843840757000464, -106.13361092099967)",36.6,2.5,,27,,%,Percentage,31.8,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,E-Cigarette Use (Adults),User Status,Current,4770,Female,All Races,All Ages,All Grades,9,63,BRF63,6EDU,6RAC,8AGE,3GEN,107BEH,176EUS,BEH,"(38.843840757000464, -106.13361092099967)",4.5,0.4,,3.1,,%,Percentage,3.8,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,289,Overall,All Races,All Ages,All Grades,9,79,BRF79,6EDU,6RAC,8AGE,1GEN,150BEH,178SFU,BEH,"(38.843840757000464, -106.13361092099967)",54.6,3.6,,40.6,,%,Percentage,47.6,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Smokeless Tobacco Use (Adults),User Status,Current,8984,Overall,All Races,All Ages,All Grades,9,80,BRF80,6EDU,6RAC,8AGE,1GEN,150BEH,179SUS,BEH,"(38.843840757000464, -106.13361092099967)",4.5,0.3,,3.5,,%,Percentage,4,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Cigarette Use (Adults),Smoking Status,Current,8930,Overall,All Races,All Ages,All Grades,9,27,BRF27,6EDU,6RAC,8AGE,1GEN,100BEH,165SSA,BEH,"(38.843840757000464, -106.13361092099967)",15.6,0.5,,13.6,,%,Percentage,14.6,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Some Days,1110,Overall,All Races,All Ages,All Grades,9,26,BRF26,6EDU,6RAC,8AGE,1GEN,100BEH,166SSP,BEH,"(38.843840757000464, -106.13361092099967)",36.8,1.7,,30,,%,Percentage,33.4,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Cigarette Use (Adults),Smoking Frequency,Some Days,576,Male,All Races,All Ages,All Grades,9,26,BRF26,6EDU,6RAC,8AGE,2GEN,100BEH,166SSP,BEH,"(38.843840757000464, -106.13361092099967)",39.3,2.4,,30.1,,%,Percentage,34.7,BRFSS,Tobacco Use – Survey Data,CO
2017,Colorado,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,254,Male,All Races,All Ages,All Grades,9,79,BRF79,6EDU,6RAC,8AGE,2GEN,150BEH,178SFU,BEH,"(38.843840757000464, -106.13361092099967)",51.1,3.7,,36.5,,%,Percentage,43.8,BRFSS,Tobacco Use – Survey Data,CO
