YEAR,LocationDesc,TopicDesc,MeasureDesc,Response,Sample_Size,Gender,Race,Age,Education,States,DisplayOrder,SubMeasureID,StratificationID4,StratificationID3,StratificationID2,StratificationID1,TopicId,MeasureId,TopicTypeId,GeoLocation,High_Confidence_Limit,Data_Value_Std_Err,Data_Value_Footnote,Low_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Unit,Data_Value_Type,Data_Value,DataSource,TopicType,LocationAbbr
2017,Georgia,E-Cigarette Use (Adults),Frequency of Use,Some Days,100,Male,All Races,All Ages,All Grades,31,62,BRF62,6EDU,6RAC,8AGE,2GEN,107BEH,175EFU,BEH,"(32.83968109300048, -83.62758034599966)",76.7,5.4,,55.3,,%,Percentage,66,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,58,Female,All Races,All Ages,All Grades,31,79,BRF79,6EDU,6RAC,8AGE,3GEN,150BEH,178SFU,BEH,"(32.83968109300048, -83.62758034599966)",68.9,9.2,,32.7,,%,Percentage,50.8,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Cigarette Use (Adults),Smoking Frequency,Every Day,462,Male,All Races,All Ages,All Grades,31,25,BRF25,6EDU,6RAC,8AGE,2GEN,100BEH,166SSP,BEH,"(32.83968109300048, -83.62758034599966)",68.2,2.8,,57.4,,%,Percentage,62.8,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Cigarette Use (Adults),Smoking Status,Current,5726,Overall,All Races,All Ages,All Grades,31,27,BRF27,6EDU,6RAC,8AGE,1GEN,100BEH,165SSA,BEH,"(32.83968109300048, -83.62758034599966)",18.8,0.7,,16.2,,%,Percentage,17.5,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,E-Cigarette Use (Adults),Frequency of Use,Every Day,89,Female,All Races,All Ages,All Grades,31,61,BRF61,6EDU,6RAC,8AGE,3GEN,107BEH,175EFU,BEH,"(32.83968109300048, -83.62758034599966)",57.4,6.5,,31.8,,%,Percentage,44.6,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Cigarette Use (Adults),Smoking Frequency,Some Days,462,Male,All Races,All Ages,All Grades,31,26,BRF26,6EDU,6RAC,8AGE,2GEN,100BEH,166SSP,BEH,"(32.83968109300048, -83.62758034599966)",42.6,2.8,,31.8,,%,Percentage,37.2,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Cigarette Use (Adults),Smoking Status,Current,3256,Female,All Races,All Ages,All Grades,31,27,BRF27,6EDU,6RAC,8AGE,3GEN,100BEH,165SSA,BEH,"(32.83968109300048, -83.62758034599966)",16,0.9,,12.6,,%,Percentage,14.3,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,E-Cigarette Use (Adults),User Status,Current,3236,Female,All Races,All Ages,All Grades,31,63,BRF63,6EDU,6RAC,8AGE,3GEN,107BEH,176EUS,BEH,"(32.83968109300048, -83.62758034599966)",4.5,0.5,,2.7,,%,Percentage,3.6,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Smokeless Tobacco Use (Adults),User Status,Current,5744,Overall,All Races,All Ages,All Grades,31,80,BRF80,6EDU,6RAC,8AGE,1GEN,150BEH,179SUS,BEH,"(32.83968109300048, -83.62758034599966)",5.2,0.4,,3.8,,%,Percentage,4.5,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Smokeless Tobacco Use (Adults),User Status,Current,3266,Female,All Races,All Ages,All Grades,31,80,BRF80,6EDU,6RAC,8AGE,3GEN,150BEH,179SUS,BEH,"(32.83968109300048, -83.62758034599966)",2.7,0.4,,1.3,,%,Percentage,2,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,E-Cigarette Use (Adults),Frequency of Use,Some Days,189,Overall,All Races,All Ages,All Grades,31,62,BRF62,6EDU,6RAC,8AGE,1GEN,107BEH,175EFU,BEH,"(32.83968109300048, -83.62758034599966)",69.7,4.2,,53.3,,%,Percentage,61.5,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,163,Male,All Races,All Ages,All Grades,31,78,BRF78,6EDU,6RAC,8AGE,2GEN,150BEH,178SFU,BEH,"(32.83968109300048, -83.62758034599966)",68.5,4.8,,49.9,,%,Percentage,59.2,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Cigarette Use (Adults),Smoking Frequency,Every Day,853,Overall,All Races,All Ages,All Grades,31,25,BRF25,6EDU,6RAC,8AGE,1GEN,100BEH,166SSP,BEH,"(32.83968109300048, -83.62758034599966)",69.8,2,,61.8,,%,Percentage,65.8,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,163,Male,All Races,All Ages,All Grades,31,79,BRF79,6EDU,6RAC,8AGE,2GEN,150BEH,178SFU,BEH,"(32.83968109300048, -83.62758034599966)",50.1,4.8,,31.5,,%,Percentage,40.8,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,E-Cigarette Use (Adults),User Status,Current,2461,Male,All Races,All Ages,All Grades,31,63,BRF63,6EDU,6RAC,8AGE,2GEN,107BEH,176EUS,BEH,"(32.83968109300048, -83.62758034599966)",6.5,0.6,,4.1,,%,Percentage,5.3,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Cigarette Use (Adults),Smoking Frequency,Some Days,391,Female,All Races,All Ages,All Grades,31,26,BRF26,6EDU,6RAC,8AGE,3GEN,100BEH,166SSP,BEH,"(32.83968109300048, -83.62758034599966)",36,2.9,,24.4,,%,Percentage,30.2,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58,Female,All Races,All Ages,All Grades,31,78,BRF78,6EDU,6RAC,8AGE,3GEN,150BEH,178SFU,BEH,"(32.83968109300048, -83.62758034599966)",67.3,9.2,,31.1,,%,Percentage,49.2,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,E-Cigarette Use (Adults),Frequency of Use,Some Days,89,Female,All Races,All Ages,All Grades,31,62,BRF62,6EDU,6RAC,8AGE,3GEN,107BEH,175EFU,BEH,"(32.83968109300048, -83.62758034599966)",68.2,6.5,,42.6,,%,Percentage,55.4,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Smokeless Tobacco Use (Adults),User Status,Current,2478,Male,All Races,All Ages,All Grades,31,80,BRF80,6EDU,6RAC,8AGE,2GEN,150BEH,179SUS,BEH,"(32.83968109300048, -83.62758034599966)",8.5,0.7,,5.9,,%,Percentage,7.2,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,Cigarette Use (Adults),Smoking Frequency,Every Day,391,Female,All Races,All Ages,All Grades,31,25,BRF25,6EDU,6RAC,8AGE,3GEN,100BEH,166SSP,BEH,"(32.83968109300048, -83.62758034599966)",75.6,2.9,,64,,%,Percentage,69.8,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,E-Cigarette Use (Adults),Frequency of Use,Every Day,100,Male,All Races,All Ages,All Grades,31,61,BRF61,6EDU,6RAC,8AGE,2GEN,107BEH,175EFU,BEH,"(32.83968109300048, -83.62758034599966)",44.7,5.4,,23.3,,%,Percentage,34,BRFSS,Tobacco Use – Survey Data,GA
2017,Georgia,E-Cigarette Use (Adults),User Status,Current,5697,Overall,All Races,All Ages,All Grades,31,63,BRF63,6EDU,6RAC,8AGE,1GEN,107BEH,176EUS,BEH,"(32.83968109300048, -83.62758034599966)",5.1,0.4,,3.7,,%,Percentage,4.4,BRFSS,Tobacco Use – Survey Data,GA
